,station,model,abs_error,squared_error,r2,last-updated
0,115.0,weekday,1.8830207139307884,2.9582064468110434,0.9242982288709992,2019-04-16
1,115.0,weekend,1.742495402807494,2.9208640125312795,0.8953070911287438,2019-04-16
2,13.0,weekday,1.5265500599089985,2.423856723843067,0.933821886227699,2019-04-16
3,13.0,weekend,0.9902985998140998,1.7429255981752954,0.863008279982086,2019-04-16
4,14.0,weekday,2.1985711439608613,3.3052397732862437,0.867621238899069,2019-04-16
5,14.0,weekend,2.059325913583163,3.468644618594771,0.797005904669533,2019-04-16
6,37.0,weekday,1.4436052587921648,2.6046008089601935,0.8004678406815708,2019-04-16
7,37.0,weekend,1.1428353583583584,2.0948393808193844,0.938626517978207,2019-04-16
8,44.0,weekday,1.623748596208784,2.7824232695976034,0.9392794153373443,2019-04-16
9,44.0,weekend,1.5482823574033988,2.808637001780694,0.8906970659589761,2019-04-16
10,42.0,weekday,1.5782983813773468,2.6212308881834745,0.9394331442339589,2019-04-16
11,42.0,weekend,1.9290745909446785,3.0499581434414966,0.8708909613819371,2019-04-16
12,7.0,weekday,1.6318276740170856,2.832300253819533,0.8262569182279884,2019-04-16
13,7.0,weekend,2.1314473176802844,3.478721181799298,0.8206910048041619,2019-04-16
14,10.0,weekday,1.369310927116322,1.9777229216107066,0.8233719112654292,2019-04-16
15,10.0,weekend,0.9579197870406905,1.5436915639595716,0.8661268629408289,2019-04-16
16,2.0,weekday,1.2168161810590603,1.9836356792403884,0.8885325264189665,2019-04-16
17,2.0,weekend,1.117554476214128,1.933543163592943,0.8666181442120949,2019-04-16
18,36.0,weekday,2.2275978620398704,3.729702918631495,0.9318641826708749,2019-04-16
19,36.0,weekend,1.731274853693685,2.9598844314817616,0.9102789112623825,2019-04-16
20,53.0,weekday,1.8542502802469638,3.370154221809516,0.9121377924919122,2019-04-16
21,53.0,weekend,1.1939947764519214,2.1190643847484805,0.8316210128118463,2019-04-16
22,19.0,weekday,2.3660306890151306,3.743923279941899,0.8752773474819762,2019-04-16
23,19.0,weekend,1.9070478309980228,3.242858071707393,0.8362762814017,2019-04-16
24,11.0,weekday,1.9289544941717764,3.3687159734191705,0.8711109445442672,2019-04-16
25,11.0,weekend,0.6968404011369806,1.540256259029355,0.8223477235663121,2019-04-16
26,26.0,weekday,1.4497530449890452,2.1880535767800158,0.8887783665756525,2019-04-16
27,26.0,weekend,1.5088577210766818,2.5086401798691895,0.8133036608063804,2019-04-16
28,110.0,weekday,1.6112404812390353,2.773184572070217,0.8531437793562787,2019-04-16
29,110.0,weekend,1.2492948994708994,2.191104159972517,0.7862520025074554,2019-04-16
30,38.0,weekday,2.0130623651774515,3.276798556191911,0.8942925432192087,2019-04-16
31,38.0,weekend,2.1415591403780985,3.7893476192531286,0.8189267011269363,2019-04-16
32,82.0,weekday,1.0308506232610892,1.9340397716726951,0.9154426383914436,2019-04-16
33,82.0,weekend,0.71338843029117,1.1165292286501745,0.8815277783576375,2019-04-16
34,43.0,weekday,2.2019758793611497,3.5196547173309787,0.8892768306361788,2019-04-16
35,43.0,weekend,1.82595955162368,3.03747556412176,0.8495766935126499,2019-04-16
36,109.0,weekday,1.8137292724913503,2.989027132781632,0.8730123146661048,2019-04-16
37,109.0,weekend,1.9748960730867573,3.3827643754767074,0.8471639609356497,2019-04-16
38,24.0,weekday,1.500470230827731,2.21950084036941,0.8109060038615489,2019-04-16
39,24.0,weekend,1.6536499968285683,2.595914689242517,0.8315284446233109,2019-04-16
40,74.0,weekday,1.9591717356917293,3.278429271190485,0.8567495991002921,2019-04-16
41,74.0,weekend,1.9640979188800618,3.1390873182057284,0.8282581870356542,2019-04-16
42,105.0,weekday,1.2286816616042284,2.374461675223657,0.793361426373974,2019-04-16
43,105.0,weekend,1.1489385440420299,2.00752509594392,0.7428182819868463,2019-04-16
44,55.0,weekday,1.6004904569650662,3.029966191282722,0.911521622452355,2019-04-16
45,55.0,weekend,0.5111382162745592,0.8549488878902024,0.8517073061622886,2019-04-16
46,80.0,weekday,2.3967726968863374,3.952630926679003,0.8330484102634663,2019-04-16
47,80.0,weekend,1.8197931590339487,3.1044002864909284,0.8870616009088652,2019-04-16
48,112.0,weekday,1.828953581547695,2.974586724976785,0.9195403406097309,2019-04-16
49,112.0,weekend,1.8298268684492283,3.0666793864694912,0.8825990193844309,2019-04-16
50,39.0,weekday,1.403508826604996,2.0819562785494914,0.7321985529868332,2019-04-16
51,39.0,weekend,1.4889871081145636,2.5434477823825934,0.7556135187241957,2019-04-16
52,6.0,weekday,1.0419974705323394,1.5975452833028738,0.6992711308076399,2019-04-16
53,6.0,weekend,1.370219189533978,2.1797408463312666,0.8695120652268044,2019-04-16
54,101.0,weekday,1.299679732590591,2.1280239325585404,0.9253542875253122,2019-04-16
55,101.0,weekend,1.2416734310727073,2.0694692426639176,0.8691999266773482,2019-04-16
56,47.0,weekday,1.7717847655548762,3.5189455251768966,0.9496438906382629,2019-04-16
57,47.0,weekend,1.3330648454277858,2.812232787336562,0.7060025119659747,2019-04-16
58,77.0,weekday,1.4175113600853524,2.359058354779445,0.789356215361457,2019-04-16
59,77.0,weekend,1.8067326257410596,3.1206066133009434,0.8574181997324584,2019-04-16
60,89.0,weekday,1.8338934343350566,3.3317858722488887,0.9141320863264385,2019-04-16
61,89.0,weekend,0.769326120714648,1.4348859847891706,0.9060053462220893,2019-04-16
62,54.0,weekday,1.4058204949191293,2.586873801898827,0.9130768190785474,2019-04-16
63,54.0,weekend,1.1163723619212171,2.0070841402488053,0.9305540536166935,2019-04-16
